20-day SMA,LowerBand(-2S.D.),UpperBand(+2S.D.)
1044.40151,1018.16172,1070.64130
1043.24751,1014.86388,1071.63114
1042.26401,1013.85257,1070.67545
1041.57800,1014.10030,1069.05571
1041.66100,1014.09969,1069.22232
1042.05200,1014.14088,1069.96312
1042.43051,1014.37095,1070.49006
1042.91801,1014.59279,1071.24322
1043.97100,1015.13069,1072.81131
1045.14750,1013.85368,1076.44133
1047.60750,1012.15278,1083.06222
1049.86350,1012.31132,1087.41568
1051.02650,1012.07752,1089.97548
1051.97300,1012.07470,1091.87129
1052.59000,1012.05297,1093.12702
1052.28199,1012.24940,1092.31459
1052.12749,1012.24245,1092.01253
1053.05599,1013.72670,1092.38527
1053.91749,1015.35817,1092.47680
1056.32449,1019.28870,1093.36028
1060.30699,1026.23775,1094.37623
1064.11499,1032.13561,1096.09437
1067.99349,1033.47093,1102.51606
1071.47549,1033.25547,1109.69551
1074.64600,1033.85019,1115.44180
1077.55450,1035.36937,1119.73963
1080.71850,1038.15301,1123.28399
1084.68150,1039.12276,1130.24024
1088.34300,1040.41161,1136.27439
1091.69800,1039.59973,1143.79627
1094.24200,1038.81989,1149.66411
1097.42800,1038.48355,1156.37245
1101.95800,1037.38972,1166.52627
1107.22400,1036.75356,1177.69444
1112.34550,1038.94458,1185.74643
1118.16000,1042.03938,1194.28063
1124.52801,1047.56345,1201.49257
1131.05451,1056.35389,1205.75513
1137.25301,1069.06593,1205.44009
1142.70351,1078.55720,1206.84982
1147.20701,1085.46476,1208.94925
1148.37900,1089.77755,1206.98046
1145.98400,1078.16178,1213.80622
1144.49501,1072.75349,1216.23652
1141.62601,1061.00277,1222.24924
1136.50451,1037.59237,1235.41665
1133.21551,1027.15331,1239.27770
1129.41101,1017.93315,1240.88886
1125.58301,1009.38701,1241.77901
1122.26301,1004.02510,1240.50092
1120.03251,1001.23131,1238.83371
1117.63251,998.88526,1236.37976
1114.60401,997.68224,1231.52577
1111.48300,998.02021,1224.94580
1108.41350,998.31698,1218.51003
1105.71100,1000.43829,1210.98371
1103.51800,1003.45859,1203.57740
1100.06950,1007.18821,1192.95078
1096.39700,1010.48497,1182.30903
1090.85650,1013.98101,1167.73199
1085.98401,1021.35130,1150.61671
1084.76201,1021.78458,1147.73944
1086.68751,1024.21101,1149.16400
1088.21801,1024.54936,1151.88666
1091.91651,1027.70926,1156.12375
1099.57300,1041.09202,1158.05398
1105.55601,1045.64566,1165.46635
1109.82350,1052.96996,1166.67705
1114.56100,1061.38527,1167.73674
1118.45651,1066.72262,1170.19039
1120.60951,1069.99354,1171.22548
1120.83801,1070.63796,1171.03805
1120.44851,1069.60248,1171.29454
1119.46101,1067.38080,1171.54122
1116.62351,1057.11477,1176.13225
1111.54651,1040.59205,1182.50098
1107.06602,1033.52882,1180.60321
1101.53752,1016.28090,1186.79413
1096.60051,1001.58992,1191.61111
1094.88701,996.93056,1192.84347
1091.31151,987.03077,1195.59226
1087.50751,978.56128,1196.45374
1083.94801,972.36467,1195.53134
1079.82801,967.06231,1192.59370
1073.85651,959.58064,1188.13237
1066.81901,957.61365,1176.02437
1060.34751,960.45988,1160.23513
1054.60501,960.64420,1148.56582
1049.02501,965.44201,1132.60801
1043.29651,973.83663,1112.75639
1038.88051,983.31484,1094.44617
1037.84501,986.24906,1089.44096
1036.82451,989.19947,1084.44955
1036.59701,990.03503,1083.15898
1037.80550,988.41879,1087.19221
1040.16850,988.68413,1091.65287
1038.59601,986.98750,1090.20451
1039.39850,989.30708,1089.48993
1041.30501,993.72886,1088.88116
1041.02050,993.28036,1088.76065
1041.31801,994.21940,1088.41661
1042.42151,996.47614,1088.36687
1042.23851,996.06351,1088.41351
1041.92151,995.40152,1088.44150
1043.97401,999.70995,1088.23807
1045.94251,1002.61029,1089.27472
1047.04701,1003.60785,1090.48617
1050.24150,1004.40890,1096.07410
1053.65050,1002.36082,1104.94018
1057.01750,1002.08241,1111.95258
1060.04250,1001.31340,1118.77160
1060.31800,1001.17874,1119.45725
1060.75299,1001.05138,1120.45461
1060.34350,1001.32641,1119.36058
1059.95950,1001.29033,1118.62867
1060.46950,1001.15382,1119.78517
1063.10300,1006.10789,1120.09811
1066.25150,1011.55719,1120.94581
1068.35849,1014.11677,1122.60021
1070.98999,1019.11081,1122.86918
1073.46449,1027.42862,1119.50036
1075.30049,1031.76913,1118.83184
1078.99799,1040.56382,1117.43215
1084.43298,1046.60629,1122.25968
1089.53499,1044.31807,1134.75191
1094.11299,1043.75509,1144.47089
1098.53099,1045.95899,1151.10298
1100.80449,1046.19327,1155.41571
1102.16649,1045.82642,1158.50656
1104.04249,1045.22167,1162.86331
1106.12199,1044.22625,1168.01773
1109.08999,1045.87638,1172.30360
1112.89099,1047.05955,1178.72243
1116.79149,1049.68693,1183.89605
1122.48849,1053.05733,1191.91965
1127.22249,1056.04211,1198.40286
1132.66048,1061.55700,1203.76396
1136.83448,1067.40557,1206.26339
1141.02648,1074.44810,1207.60487
1143.78649,1082.51464,1205.05833
1147.01399,1096.11299,1197.91498
1148.98749,1106.69153,1191.28345
1150.32649,1112.90383,1187.74915
1150.03599,1112.05588,1188.01610
1149.48948,1111.38366,1187.59530
1147.75248,1107.00828,1188.49668
1147.46949,1106.62841,1188.31056
1148.50248,1107.99012,1189.01484
1150.23099,1109.61155,1190.85043
1151.54299,1110.52076,1192.56521
1152.70649,1110.81977,1194.59320
1155.55799,1108.87725,1202.23873
1157.77349,1106.46254,1209.08444
1159.63549,1105.61142,1213.65957
1161.11049,1103.08900,1219.13198
1162.82150,1100.93762,1224.70537
1163.57300,1100.32522,1226.82077
1164.99500,1100.02806,1229.96194
1167.08050,1099.08853,1235.07247
1173.02400,1095.65627,1250.39173
1180.19000,1093.17160,1267.20839
1188.61800,1095.31204,1281.92396
1194.92350,1102.14227,1287.70473
1199.96600,1111.14538,1288.78662
1204.22150,1118.80630,1289.63671
1210.05700,1134.04167,1286.07233
1215.04900,1144.86369,1285.23431
1219.20300,1154.05301,1284.35299
1222.72250,1161.69808,1283.74693
1227.15750,1170.17703,1284.13798
1231.65100,1178.93367,1284.36833
1234.81100,1182.18270,1287.43929
1237.21550,1185.98523,1288.44576
1239.82200,1191.94631,1287.69768
1242.07500,1195.21500,1288.93500
1243.04050,1197.85824,1288.22275
1244.28850,1202.80232,1285.77469
1245.18700,1207.12291,1283.25109
1245.73450,1209.37631,1282.09268
1243.69750,1205.81682,1281.57818
1240.98800,1205.01573,1276.96027
1237.77100,1207.19366,1268.34834
1236.96400,1207.18380,1266.74420
1238.27550,1207.53568,1269.01532
1239.20750,1208.73585,1269.67916
1240.79050,1208.53789,1273.04312
1241.45600,1208.65816,1274.25384
1241.13800,1208.09608,1274.17992
1239.82000,1204.31851,1275.32149
1236.98300,1198.14413,1275.82187
1233.11600,1189.62187,1276.61014
1228.77250,1181.48175,1276.06326
1224.90001,1173.51186,1276.28816
1221.96750,1169.64764,1274.28737
1217.64050,1163.71311,1271.56790
1215.13651,1159.52510,1270.74791
1212.83250,1155.11257,1270.55243
1210.03150,1147.90066,1272.16234
1207.28950,1142.71236,1271.86665
1205.13250,1139.18427,1271.08073
1203.62350,1137.88446,1269.36254
1201.17150,1134.57900,1267.76399
1198.31200,1133.18061,1263.44339
1195.19300,1135.73486,1254.65114
1192.60300,1137.87398,1247.33202
1189.73850,1145.37812,1234.09888
1187.37050,1153.19005,1221.55096
1186.20700,1156.92156,1215.49244
1186.02350,1157.32952,1214.71747
1186.64500,1156.35116,1216.93884
1186.29900,1155.73489,1216.86311
1185.81100,1154.40616,1217.21583
1184.85400,1151.11711,1218.59089
1182.61300,1144.82707,1220.39893
1178.64100,1124.08131,1233.20070
1174.07100,1107.46703,1240.67498
1171.19901,1100.67842,1241.71959
1168.32950,1091.77934,1244.87967
1166.62800,1088.54756,1244.70845
1164.29400,1084.49501,1244.09299
1159.61100,1075.86897,1243.35304
1156.26401,1069.49322,1243.03479
1152.85450,1064.66594,1241.04307
1148.90551,1061.34970,1236.46131
1142.05850,1048.48702,1235.62999
1136.87000,1046.91974,1226.82026
1130.70350,1044.00053,1217.40648
1122.01350,1033.43511,1210.59189
1114.10700,1029.36592,1198.84809
1108.05950,1035.62182,1180.49718
1103.50500,1037.86007,1169.14992
1098.68800,1038.73890,1158.63710
